model,regime,n_features,n_train,seed,rmse,r2,fit_predict_seconds,error,signal_regime
random_forest,fixed_n,500,2000,2,2.305901725677329,0.7413280432713711,0.7281458377838135,,fixed
random_forest,fixed_n,500,2000,3,2.4907886230670235,0.7241795890631012,0.7259278297424316,,fixed
random_forest,fixed_n,500,2000,4,2.450041782753409,0.7413416892002341,0.8688309192657471,,fixed
random_forest,fixed_n,1000,2000,0,2.508718493315503,0.7426122768877956,1.0569238662719729,,fixed
random_forest,fixed_n,1000,2000,1,2.1686591089560823,0.7901466364033616,1.0113751888275146,,fixed
random_forest,fixed_n,1000,2000,2,2.248013145215367,0.7541526946277337,0.9915540218353271,,fixed
random_forest,fixed_n,1000,2000,3,2.4465499606034045,0.733890222327976,1.022347927093506,,fixed
random_forest,fixed_n,1000,2000,4,2.4139429038889735,0.7489076723267252,0.9989140033721924,,fixed
random_forest,fixed_n,2000,2000,0,2.4699694314151976,0.7505019691336191,1.4442360401153564,,fixed
random_forest,fixed_n,2000,2000,1,2.124655266348107,0.7985764242802915,1.4487478733062744,,fixed
random_forest,fixed_n,2000,2000,2,2.202416445118784,0.7640246482729713,1.7412948608398438,,fixed
random_forest,fixed_n,2000,2000,3,2.423765486523522,0.7388236498697003,1.3617918491363523,,fixed
random_forest,fixed_n,2000,2000,4,2.3735023325379108,0.7572502557317699,1.5396931171417236,,fixed
random_forest,fixed_n,5000,2000,0,2.4620561426478895,0.7520980919265242,2.5195789337158203,,fixed
random_forest,fixed_n,5000,2000,1,2.087139212446192,0.8056268878885254,2.6079227924346924,,fixed
random_forest,fixed_n,5000,2000,2,2.192585087221763,0.7661266849853665,2.6288161277770996,,fixed
random_forest,fixed_n,5000,2000,3,2.404123175978183,0.7430396680361022,2.199625253677368,,fixed
random_forest,fixed_n,5000,2000,4,2.338454789742241,0.7643662953919383,2.369140863418579,,fixed
random_forest,fixed_n,10000,2000,0,2.4150754494771056,0.7614687018456566,3.699821949005127,,fixed
random_forest,fixed_n,10000,2000,1,2.0960715313717415,0.8039596125805126,3.354893684387207,,fixed
random_forest,fixed_n,10000,2000,2,2.151846692038587,0.7747367148586807,3.2975330352783203,,fixed
random_forest,fixed_n,10000,2000,3,2.387716990805925,0.7465347920264385,3.2946290969848633,,fixed
random_forest,fixed_n,10000,2000,4,2.3063461161906114,0.7707927126944052,3.2573821544647217,,fixed
random_forest,scaling_n,10,200,0,3.338626699806142,0.5084812654011253,0.160989761352539,,fixed
