model,regime,signal_regime,n_features,n_train,seed,rmse,r2,fit_predict_seconds,error
tabicl,fixed_n,scaling,5000,2000,2,49.97850895263423,0.2514824668751517,347.1255919933319,
tabicl,fixed_n,scaling,5000,2000,3,48.42052524679765,0.3106397893552057,361.0269219875336,
tabicl,fixed_n,scaling,5000,2000,4,47.71358357124631,0.2811237748780446,364.1003999710083,
tabicl,fixed_n,scaling,10000,2000,0,60.38825763499096,0.1754202884702183,1107.980093002319,
tabicl,fixed_n,scaling,10000,2000,1,60.20700041914231,0.1470916725003539,1099.6015648841858,
tabicl,fixed_n,scaling,10000,2000,2,61.376512123761174,0.1346145230553828,1105.7820699214935,
tabicl,fixed_n,scaling,10000,2000,3,64.29447795341632,0.1255074491217919,1075.6939709186554,
tabicl,fixed_n,scaling,10000,2000,4,62.9489837388866,0.1710264576391705,987.2432682514192,
tabpfn,fixed_n,scaling,10,2000,0,1.3238623256764868,0.9283246847156011,2.3904502391815186,
tabpfn,fixed_n,scaling,10,2000,1,1.2277238421426342,0.9327434272504056,0.4530701637268066,
tabpfn,fixed_n,scaling,10,2000,2,1.126886938440454,0.938222767360064,0.4466609954833984,
tabpfn,fixed_n,scaling,10,2000,3,1.2007799781601989,0.9358968265202378,0.4469430446624756,
tabpfn,fixed_n,scaling,10,2000,4,1.2945552007826604,0.927786132803146,0.4466900825500488,
tabpfn,fixed_n,scaling,20,2000,0,1.3412977070077017,0.9264243123446017,0.7324669361114502,
tabpfn,fixed_n,scaling,20,2000,1,1.179058348383074,0.9379696904379424,0.7099862098693848,
tabpfn,fixed_n,scaling,20,2000,2,1.1436123282026311,0.9363753485006078,0.7054219245910645,
tabpfn,fixed_n,scaling,20,2000,3,1.183369910714029,0.9377422101493348,0.7045459747314453,
tabpfn,fixed_n,scaling,20,2000,4,1.2973212939620244,0.9274772024617852,0.7050430774688721,
tabpfn,fixed_n,scaling,50,2000,0,1.3440042929236156,0.9261270780486752,1.5530951023101809,
tabpfn,fixed_n,scaling,50,2000,1,1.247030064367477,0.9306115476570612,1.5314795970916748,
tabpfn,fixed_n,scaling,50,2000,2,1.1993241018796958,0.9300253262062816,1.5232319831848145,
tabpfn,fixed_n,scaling,50,2000,3,1.2509275597921203,0.9304308053329006,1.5211708545684814,
tabpfn,fixed_n,scaling,50,2000,4,1.2599894951243678,0.9315909902364616,1.5243520736694336,
tabpfn,fixed_n,scaling,100,2000,0,1.3688254479552433,0.9233733028092156,3.0898828506469727,
tabpfn,fixed_n,scaling,100,2000,1,1.202594566688849,0.9354684899335298,3.0332181453704834,
tabpfn,fixed_n,scaling,100,2000,2,1.245152289037418,0.9245754544241238,3.035198926925659,
tabpfn,fixed_n,scaling,100,2000,3,1.2275483275869432,0.9330069342758868,3.02848219871521,
tabpfn,fixed_n,scaling,100,2000,4,1.3400320341706438,0.9226233690156124,3.048740863800049,
tabpfn,fixed_n,scaling,200,2000,0,0.9434940698338996,0.8675738367543815,5.098832130432129,
tabpfn,fixed_n,scaling,200,2000,1,1.0382543829397464,0.8043939322056589,5.054743051528931,
tabpfn,fixed_n,scaling,200,2000,2,1.0939380440385211,0.8154750068515747,5.046072959899902,
tabpfn,fixed_n,scaling,200,2000,3,0.94833348457079,0.8565181002802766,5.049108982086182,
tabpfn,fixed_n,scaling,200,2000,4,1.2042166659979112,0.7781415265912079,5.047601938247681,
tabpfn,fixed_n,scaling,500,2000,0,13.26994735163997,0.4212397224013046,5.139497995376587,
tabpfn,fixed_n,scaling,500,2000,1,8.466365255703366,0.7830849421343916,5.155066251754761,
tabpfn,fixed_n,scaling,500,2000,2,11.8152654165283,0.5986010919230507,5.15024209022522,
tabpfn,fixed_n,scaling,500,2000,3,10.68504487193865,0.6998268553780361,5.154622316360474,
tabpfn,fixed_n,scaling,500,2000,4,13.363567178382748,0.4929746067096077,5.256048202514648,
tabpfn,fixed_n,scaling,1000,2000,0,20.266341411522557,0.4059449879033568,10.30721402168274,
tabpfn,fixed_n,scaling,1000,2000,1,20.221366981407293,0.4298432604397594,10.331167936325071,
tabpfn,fixed_n,scaling,1000,2000,2,19.1978462469221,0.4529958383687971,10.293188095092772,
tabpfn,fixed_n,scaling,1000,2000,3,18.70346339426019,0.4064411972021637,10.314044713974,
tabpfn,fixed_n,scaling,1000,2000,4,19.04135378401523,0.4755265887305083,10.300476789474487,
tabpfn,fixed_n,scaling,2000,2000,0,31.382995300026316,0.3441137446219272,20.58888292312622,
tabpfn,fixed_n,scaling,2000,2000,1,38.036914187954295,0.1184179199202933,20.63253378868103,
tabpfn,fixed_n,scaling,2000,2000,2,30.26102885685268,0.4052953048838223,20.589039087295532,
tabpfn,fixed_n,scaling,2000,2000,3,32.36623141872316,0.2727733213445295,20.577986001968384,
tabpfn,fixed_n,scaling,2000,2000,4,30.884479050040152,0.3930094083879246,20.56047201156616,
tabpfn,fixed_n,scaling,5000,2000,0,53.19107028518127,0.099891834705455,51.46886706352234,
tabpfn,fixed_n,scaling,5000,2000,1,53.46967779975677,0.0904099100311833,51.35980391502381,
tabpfn,fixed_n,scaling,5000,2000,2,54.61428475420833,0.1061844876022022,51.43546986579895,
tabpfn,fixed_n,scaling,5000,2000,3,54.77762611948088,0.1177460018305831,51.40065908432007,
tabpfn,fixed_n,scaling,5000,2000,4,53.0844989225743,0.1101731757407761,51.349011182785034,
tabpfn,fixed_n,scaling,10000,2000,0,65.1486284531818,0.0402940203729245,102.6808249950409,
tabpfn,fixed_n,scaling,10000,2000,1,63.914257580684705,0.0388218923914155,102.9256100654602,
tabpfn,fixed_n,scaling,10000,2000,2,64.90211656001344,0.0323397242764457,102.99200415611269,
tabpfn,fixed_n,scaling,10000,2000,3,68.02644268053713,0.0210414866521204,103.0996630191803,
tabpfn,fixed_n,scaling,10000,2000,4,67.61323060652012,0.0436285606054877,102.89683079719543,
xgboost,fixed_n,scaling,10,2000,0,2.0912947218011695,0.8211394968179505,0.59912109375,
xgboost,fixed_n,scaling,10,2000,1,1.8615888569746537,0.8453674582598438,0.5928499698638916,
xgboost,fixed_n,scaling,10,2000,2,1.82010695322997,0.8388383974643415,0.5963242053985596,
xgboost,fixed_n,scaling,10,2000,3,2.0761702914861893,0.808363337334901,0.6014997959136963,
xgboost,fixed_n,scaling,10,2000,4,1.9909440862971248,0.8291961788605328,0.5959010124206543,
xgboost,fixed_n,scaling,20,2000,0,2.2051983698900597,0.8011254128660901,0.6772689819335938,
xgboost,fixed_n,scaling,20,2000,1,1.8955671134535168,0.8396711475837993,0.6752870082855225,
xgboost,fixed_n,scaling,20,2000,2,1.9125122651243984,0.8220589218339882,0.6934561729431152,
xgboost,fixed_n,scaling,20,2000,3,2.1345318423064428,0.7974380215523645,0.6832408905029297,
xgboost,fixed_n,scaling,20,2000,4,2.0444399767603185,0.8198939986074831,0.6768431663513184,
xgboost,fixed_n,scaling,50,2000,0,2.2284057438857716,0.7969174986453358,0.8432772159576416,
xgboost,fixed_n,scaling,50,2000,1,2.0892105399349696,0.8052408952839752,0.8286967277526855,
xgboost,fixed_n,scaling,50,2000,2,1.9677013590504169,0.8116411063785409,0.8569107055664062,
xgboost,fixed_n,scaling,50,2000,3,2.271316969257784,0.7706450352313607,0.8447647094726562,
xgboost,fixed_n,scaling,50,2000,4,2.1564483790303446,0.7996185161345105,0.9197280406951904,
xgboost,fixed_n,scaling,100,2000,0,2.3612805876569154,0.771976735478205,1.1273188591003418,
xgboost,fixed_n,scaling,100,2000,1,2.145793012196989,0.7945486465970512,1.0559868812561035,
xgboost,fixed_n,scaling,100,2000,2,2.073734961880466,0.7907939406905322,1.1070888042449951,
